"","ZIP CODE","count","amount","median_unit"
"152","11694",88,98631973,483.171663727219
"153","11224",56,65297417,376.331453634085
"154","10308",242,163303673,389.658135981665
"155","11697",0,0,NA
"156","10312",576,348442063,344.80101401613
"157","10309",292,205285258,336.628031003342
"158","10307",140,99916723,355.321128451381
"159","10280",0,0,NA
"160","11372",33,86960150,487.272727272727
"161","11004",50,36768836,535.561199585087
"162","11040",12,8624038,543.759929510718
"163","11426",95,62954939,475.609756097561
"164","11365",164,156740070,621.778797996369
"165","11001",35,23669831,472.005208333333
"166","11375",143,301650154,688.841707949988
"167","11427",111,94429970,452.302631578947
"168","11374",67,421841130,566.789215686274
"169","11366",92,81241657,575.091819997147
"170","11423",97,87581662,401.713255184851
"171","11428",103,70686296,410.21021021021
"172","11432",121,153972288,454.202586206897
"173","11379",180,148255716,502.407373440939
"174","11429",190,114512488,378.417475237518
"175","11435",145,114893226,409.747292418773
"176","11415",28,45281233,458.302839578454
"177","11418",127,104794648,373.44398340249
"178","11433",209,120126581,370.04662004662
"179","11451",0,0,NA
"180","11221",213,556164286,446.25902012913
"181","11421",177,124898825,406.50406504065
"182","11419",181,154058462,420.22792022792
"183","11434",372,207811642,374.465811965812
"184","11216",125,236718590,496.031746031746
"185","11416",99,64889417,396.283834586466
"186","11233",208,285897376,424.058512293806
"187","10055",0,0,NA
"188","10019",8,197491735,658.031218289854
"189","10111",0,0,NA
"190","10153",0,0,NA
"191","10154",0,0,NA
"192","10152",0,0,NA
"193","10115",0,0,NA
"194","10022",19,932289441,662.196838010099
"195","11370",69,62905845,477.589052287582
"196","10065",12,175030222,1074.48784756298
"197","10075",12,126008300,901.918565151109
"198","10069",0,0,NA
"199","10281",0,0,NA
"200","10282",0,0,NA
"201","11211",83,543019104,727.272727272727
"202","11373",102,161605349,523.032416371665
"203","10279",0,0,NA
"204","10165",0,0,NA
"205","10168",0,0,NA
"206","10105",1,138770546,8915.55065852875
"207","10118",0,0,NA
"208","10176",0,0,NA
"209","10170",0,0,NA
"210","10112",0,0,NA
"211","10122",0,0,NA
"212","10107",0,0,NA
"213","10103",0,0,NA
"214","10174",0,0,NA
"215","10166",0,0,NA
"216","10169",1,33072265,27.2739354244942
"217","10167",1,33072265,20.8411148697189
"218","10177",1,33072265,63.6270616776616
"219","10172",0,0,NA
"220","10171",1,33072265,31.8222550012942
"221","10270",0,0,NA
"222","10104",0,0,NA
"223","10271",0,0,NA
"224","10110",0,0,NA
"225","10175",0,0,NA
"226","10151",0,0,NA
"227","10173",0,0,NA
"228","10178",0,0,NA
"229","10121",0,0,NA
"230","10123",0,0,NA
"231","10106",0,0,NA
"232","10158",0,0,NA
"233","10041",0,0,NA
"234","10120",0,0,NA
"235","10278",0,0,NA
"236","10155",0,0,NA
"237","10043",0,0,NA
"238","10081",0,0,NA
"239","10096",0,0,NA
"240","10097",0,0,NA
"241","10196",0,0,NA
"242","10196",0,0,NA
"243","10275",0,0,NA
"244","10265",0,0,NA
"245","10045",0,0,NA
"246","10047",0,0,NA
"247","10047",0,0,NA
"248","10080",0,0,NA
"249","10203",0,0,NA
"250","10259",0,0,NA
"251","10260",0,0,NA
"252","10285",0,0,NA
"253","10286",0,0,NA
"254","10035",16,69870437,556.795632808441
"255","11371",0,0,NA
"256","11361",146,140271255,584.507042253521
"257","10036",15,262150901,711.453942232631
"258","11414",144,97946611,372.883766126038
"259","10310",160,90441594,326.527149321267
"260","11693",47,24637640,320.166666666667
"261","11249",34,376266954,1241.86792949224
"262","10162",0,0,NA
"263","10119",0,0,NA
